ID;Aktywny (0 lub 1);Nazwa;Kategoria nadrzędna;Główna kategoria (0/1);Opis;Meta-tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;URL zdjęcia;ID / Nazwa sklepu
3;1;NOWOCZESNE;Strona główna;0;Najnowsza kolekcja naszego sklepu obejmująca wszystkie dostępne rodzaje oświetlenia! Czy jesteś gotowy na swoją świetlaną przyszłość?;NOWOCZESNE;;;nowoczesne;;0;
9;1;KLASYCZNE;Strona główna;0;Posiadamy szeroki wybór klasycznych stylów lamp.;KLASYCZNE;;;klasyczne;;0;
6;1;ŻARÓWKI;Strona główna;0;W naszej ofercie znajduje się szeroki asortyment żarówek o różnej mocy i kształtach.;ŻAROWKI;;;zarowki;;0;
13;1;DZIECIĘCE;Strona główna;0;Najpiękniejsze lampy dziecięce.;DZIECIĘCE;;;dzieciece;;0;
14;1;ŁAZIENKOWE;Strona główna;0;Szeroki wybór lamp łazienkowych.;ŁAZIENKOWE;;;lazienkowe;;0;
10;1;KINKIETY;NOWOCZESNE;0;W naszej ofercie znajdziecie szeroki wybór kinkietów.;KINKIETY;;;kinkiety;;0;
11;1;LAMPY BIURKOWE;NOWOCZESNE;0;Wybierz swoją wymarzoną lampę biurkową!;LAMPY BIURKOWE;;;lampy-biurkowe;;0;
12;1;ŻYRANDOLE;KLASYCZNE;0;Klasyczne żyrandole.;ŻYRANDOLE;;;zyrandole;;0;
